,CPALTT01USQ657N,CPALTT01USQ661S,CPALTT01USQ659N,GBRCPIALLQINMEI,DEUCPIALLQINMEI,CPALTT01DEQ657N,CPALTT01DEQ659N,DEUCPALTT01IXOBSAQ,DEUCPALTT01IXNBQ,USACPICORQINMEI,INDCPIALLQINMEI,CPALCY01CAQ661N,TURCPIALLQINMEI,ITACPIALLQINMEI,CPALTT01CAQ659N,CANCPIALLQINMEI,CPALTT01CAQ657N,CANCPALTT01IXNBQ,KORCPIALLQINMEI,FRACPIALLQINMEI,AUSCPIALLQINMEI,CPALTT01AUQ659N,CPALTT01AUQ657N,AUSCPALTT01IXNBQ,CPALTT01GBQ657N,CPALTT01GBQ659N,IDNCPIALLQINMEI,MEXCPIALLQINMEI,SWECPIALLQINMEI,DEUCPIENGQINMEI,CPGREN01DEQ657N,CPGREN01DEQ659N,CHECPIALLQINMEI,CPALTT01CHQ657N,CPALTT01CHQ659N,CHECPALTT01IXNBQ,CCRETT01CNQ661N,ESPCPIALLQINMEI,CPALTT01ESQ659N,ESPCPALTT01IXNBQ,CPALTT01ESQ657N,CPALWE01USQ661N,CPGREN01USQ659N,CPGREN01USQ657N,CPALTT01FRQ659N,CPALTT01FRQ657N,CPALTT01INQ659N,ZAFCPIALLQINMEI,BELCPIALLQINMEI,CHLCPIALLQINMEI,CPALTT01INQ657N,CPALTT01BEQ657N,CPALTT01BEQ659N,CHLCPALTT01IXNBQ,BELCPALTT01IXNBQ,CPALTT01ITQ657N,NLDCPIALLQINMEI,CPALTT01ITQ659N,FRACPIENGQINMEI,CPGRLE01USQ657N,CPGRLE01DEQ659N,CPGRLE01USQ659N,CPGRLE01DEQ657N,DEUCPICORQINMEI,NZLCPIALLQINMEI,CCRETT01CAQ661N,CPALCY01USQ661N,GBRCPICORQINMEI,CCRETT01BRQ661N,ITACPIENGQINMEI,CCRETT01EZQ661N,CCRETT01DEQ661N,INDCPALTT01IXNBQ,DNKCPIALLQINMEI,DNKCPALTT01IXNBQ,CPALTT01DKQ657N,CPALTT01DKQ659N,CPALTT01KRQ657N,CPALTT01KRQ659N,CCRETT01BEQ661N,CCRETT01ESQ661N,CCRETT01CHQ661N,CCRETT01ATQ661N,CCRETT01FIQ661N,CCRETT01DKQ661N,NORCPIALLQINMEI,PRTCPIALLQINMEI,GRCCPIALLQINMEI,FINCPIALLQINMEI,GBRCPIENGQINMEI,CPGRLE01CAQ659N,CPGRLE01CAQ657N,CPALTT01FIQ659N,FINCPALTT01IXNBQ,CPALTT01FIQ657N,CANCPICORQINMEI,CPALTT01TRQ659N,CPALTT01TRQ657N,LUXCPIALLQINMEI,USACPIENGQINMEI,CPGRLE01CHQ657N,OECDCPALTT01IXNBQ,OECDCPALTT01IXOBQ,CPGRLE01CHQ659N,CHECPICORQINMEI,CCRETT01USQ661N,ISRCPIALLQINMEI,AUTCPIALLQINMEI,NLDCPIENGQINMEI,CPGREN01CAQ657N,CANCPIENGQINMEI,CPGREN01CAQ659N,COLCPALTT01IXOBQ,COLCPALTT01IXNBQ,CPALTT01ATQ659N,CPALTT01ATQ657N,AUTCPALTT01IXNBQ,SWECPIENGQINMEI,CCRETT01INQ661N,CPALTT01MXQ657N,CPALTT01MXQ659N,CPALTT01IDQ659N,CPALTT01SEQ657N,CPALTT01ISQ657N,CPALTT01SEQ659N,OECDCPGRLE01IXOBQ,CPALTT01ISQ659N,CPALTT01IDQ657N,USACPGRLE01IXOBSAQ,CPALTT01GRQ657N,CPALTT01GRQ659N,CPGREN01ITQ657N,CPGREN01ITQ659N,CANCP010000IXOBQ,CANCP010000GYQ,CANCP010000GPQ,CANCP010000IXNBQ,CHECP010000IXOBQ,CHECP010000GPQ,CHECP010000IXNBQ,CPGRLE01ITQ657N,CPGRLE01ITQ659N,CHECP010000GYQ,CPALTT01NZQ659N,CPGREN01NZQ659N,CCRETT01IDQ661N,CPALTT01NZQ657N,CPALTT01ZAQ659N,CPALTT01ZAQ657N,CPGREN01NZQ657N,USACP010000GPQ,USACP010000GYQ,USACPALTT01IXNBQ,USACP010000IXOBQ,OECDECPGREN01IXOBQ,CPALTT01NLQ659N,CPALTT01NLQ657N,CHECPIENGQINMEI,CPGREN01CHQ659N,USACP010000IXNBQ,CPGREN01CHQ657N,NZLCPICORQINMEI,USACPIALLQINMEI,PRTCPIENGQINMEI,FRACPICORQINMEI,LUXCPIENGQINMEI,DNKCPICORQINMEI,CPALTT01NOQ657N,CPALTT01NOQ659N,GBRCPALTT01IXNBQ,NLDCPICORQINMEI,FINCPIENGQINMEI,CPGREN01FIQ659N,CPALTT01PTQ657N,CPALTT01PTQ659N,GBRCP010000GPQ,GBRCP010000GYQ,GBRCP010000IXOBQ,GBRCP010000IXNBQ,CCRETT01JPQ661N,CCRETT01KRQ661N,CPGREN01ATQ659N,AUTCPIENGQINMEI,CANCP040100IXOBQ,CANCP040100GYQ,CANCP040100GPQ,ISLCPIALLQINMEI,CPGREN01FIQ657N,CPGREN01ATQ657N,QUSR628BIS,TURCPALTT01IXNBQ,CPGRLE01NZQ659N,DNKCPIENGQINMEI,ISRCPIENGQINMEI,SWECPICORQINMEI,CPGRLE01ATQ659N,AUTCPICORQINMEI,CPGRLE01ATQ657N,ITACPICORQINMEI,CPGREN01FRQ657N,CPGREN01FRQ659N,CPGRLE01NZQ657N,NZLCPIENGQINMEI,FRACPALTT01IXNBQ,KORCPALTT01IXNBQ,CANCPGRHO01IXOBQ,CANCPGRHO01GYQ,DEUCP010000IXOBQ,DEUCP010000GPQ,CCRETT01MXQ661N,CPGRLE01NLQ657N,CPGRLE01NLQ659N,ITACPALTT01IXNBQ,CPALCY01MXQ661N,CPGRLE01FIQ657N,FINCPICORQINMEI,CPGRLE01FIQ659N,MEXCPGRSE01IXOBQ,IDNCPALTT01IXNBQ,ZAFCP010000IXNBQ,ZAFCP010000IXOBQ,CCRETT01NZQ661N,PRTCPICORQINMEI,CPALCY01TRQ661N,CCRETT01ITQ661N,OECDECPALTT01IXOBQ,OECDECPALTT01IXNBQ,AUSCP010000GYQ,AUSCP010000IXOBQ,AUSCP010000GPQ,OECDECPGRLE01IXOBQ,DEUCP010000GYQ,DEUCP010000IXNBQ,OECDCPGREN01IXOBQ,CHECPGRSE01IXOBQ,MEXCPGRSE01GPQ,MEXCPGRSE01GYQ,ZAFCPALTT01IXNBQ,DEUCPGRHO01IXOBQ,DEUCPGRHO01GYQ,DEUCPGRHO01GPQ,MEXCPALTT01IXNBQ,NORCPALTT01IXNBQ,CCRETT01LUQ661N,OECDCP010000IXOBQ,OECDCP010000IXNBQ,CCRETT01FRQ661N,PRTCP040100GPQ,PRTCP040100IXOBQ,GRCCPICORQINMEI,ZAFCP040500IXOBQ,CPALTT01LUQ657N,CPALTT01LUQ659N,ISRCPICORQINMEI,ISRCPALTT01IXNBQ,CCRETT01GRQ661N,MEXCP010000IXNBQ,MEXCP010000IXOBQ,MEXCP010000GPQ,CCRETT01SEQ661N,NZLCPALTT01IXNBQ,LUXCPICORQINMEI,CCRETT01NOQ661N,CANCPGRSE01IXOBQ,CANCPGRSE01GPQ,CCRETT01NLQ661N,DNKCP040500GYQ,DNKCP040500GPQ,DNKCP040500IXOBQ,SWECPALTT01IXNBQ,CANCPGRGO01GYQ,CANCPGRGO01GPQ,CANCPGRGO01IXOBQ,FRACP010000IXOBQ,ITACP010000IXOBQ,ITACP010000GYQ,ITACP010000GPQ,ITACP010000IXNBQ
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
