,Close,Consumer Price Index: Total All Items for the United States,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Real M2 Money Stock,Unemployment Rate,Federal Funds Effective Rate,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
1967-12-01,94.5,0.295857988165682,3.383497007,0.31685,1543.5,3.8,4.5,5.78,34.0
1968-02-01,92.559998,0.293255131964811,3.682012499,0.34517,1550.9,3.8,4.75,5.58,34.2
1968-03-01,89.110001,0.292397660818715,4.151667589,0.4605,1554.5,3.7,4.75,5.56,34.3
1968-04-01,92.480003,0.291545189504355,4.165427174,0.30354,1557.3,3.5,5.5,5.64,34.4
1968-05-01,97.970001,0.290697674418606,4.097704474,0.25199,1562.0,3.5,6.38,5.73,34.5
1968-07-01,99.400002,0.576368876080694,4.766361188,0.51008,1563.3,3.7,6.13,5.62,34.9
1968-08-01,97.279999,0.2865329512894,4.960194431,0.48351,1569.7,3.5,6.0,5.38,35.0
1968-10-01,102.860001,0.569800569800572,5.198351909,0.58758,1579.6,3.4,6.0,5.49,35.3
1968-11-01,103.059998,0.283286118980171,5.414944837,0.5526,1588.7,3.4,6.0,5.61,35.4
1969-04-01,101.419998,0.554016620498617,6.524447618,0.65007,1586.0,3.4,6.63,6.25,36.3
1969-05-01,103.510002,0.275482093663913,6.799346963,0.4841,1583.8,3.4,8.25,6.25,36.4
1969-07-01,98.080002,0.546448087431696,6.404961413,0.53369,1574.7,3.5,8.75,6.75,36.8
1969-08-01,93.470001,0.543478260869567,6.430385766,0.5103,1572.1,3.5,9.5,6.66,36.9
1969-10-01,92.519997,0.539083557951485,6.574721234,0.39512,1564.1,3.7,8.0,7.52,37.3
1969-12-01,93.220001,0.533333333333318,6.425116862,0.57145,1559.4,3.5,9.63,7.29,37.7
1970-04-01,90.07,0.785340314136129,6.855423125,0.54606,1528.3,4.6,8.0,7.04,38.5
1970-05-01,81.440002,0.259740259740261,6.98585698,0.59521,1532.4,4.8,8.63,7.85,38.6
1970-06-01,77.839996,0.518134715025909,7.191308106,0.49853,1534.0,4.9,7.75,7.84,38.8
